time_s,raw,angle_deg,agc
0.0043,3104.0000,272.8125,128.0000
0.0144,3104.0000,272.8125,128.0000
0.0244,3104.0000,272.8125,128.0000
0.0344,3104.0000,272.8125,128.0000
0.0444,3104.0000,272.8125,128.0000
0.0544,3104.0000,272.8125,128.0000
0.0644,3104.0000,272.8125,128.0000
0.0744,3104.0000,272.8125,128.0000
0.0844,3104.0000,272.8125,128.0000
0.0944,3104.0000,272.8125,128.0000
0.1044,3104.0000,272.8125,128.0000
0.1144,3104.0000,272.8125,128.0000
0.1244,3104.0000,272.8125,128.0000
0.1344,3104.0000,272.8125,128.0000
0.1444,3104.0000,272.8125,128.0000
0.1544,3104.0000,272.8125,128.0000
0.1644,3104.0000,272.8125,128.0000
0.1745,3104.0000,272.8125,128.0000
0.1844,3104.0000,272.8125,128.0000
0.1944,3104.0000,272.8125,128.0000
0.2044,3104.0000,272.8125,128.0000
0.2144,3104.0000,272.8125,128.0000
0.2244,3104.0000,272.8125,128.0000
0.2344,3104.0000,272.8125,128.0000
0.2444,3104.0000,272.8125,128.0000
0.2544,3104.0000,272.8125,128.0000
0.2644,3104.0000,272.8125,128.0000
0.2744,3104.0000,272.8125,128.0000
0.2844,3104.0000,272.8125,128.0000
0.2944,3104.0000,272.8125,128.0000
0.3044,3104.0000,272.8125,128.0000
0.3144,3104.0000,272.8125,128.0000
0.3244,3104.0000,272.8125,128.0000
0.3344,3104.0000,272.8125,128.0000
0.3444,3104.0000,272.8125,128.0000
0.3544,3104.0000,272.8125,128.0000
0.3644,3104.0000,272.8125,128.0000
0.3744,3104.0000,272.8125,128.0000
0.3844,3104.0000,272.8125,128.0000
0.3944,3104.0000,272.8125,128.0000
0.4044,3104.0000,272.8125,128.0000
0.4144,3104.0000,272.8125,128.0000
0.4244,3104.0000,272.8125,128.0000
0.4344,3104.0000,272.8125,128.0000
0.4444,3104.0000,272.8125,128.0000
0.4544,3104.0000,272.8125,128.0000
0.4644,3104.0000,272.8125,128.0000
0.4744,3104.0000,272.8125,128.0000
0.4844,3104.0000,272.8125,128.0000
0.4944,3104.0000,272.8125,128.0000
0.5044,3104.0000,272.8125,128.0000
0.5144,3104.0000,272.8125,128.0000
0.5244,3104.0000,272.8125,128.0000
0.5344,3104.0000,272.8125,128.0000
0.5444,3104.0000,272.8125,128.0000
0.5544,3104.0000,272.8125,128.0000
0.5644,3104.0000,272.8125,128.0000
0.5744,3104.0000,272.8125,128.0000
0.5844,3104.0000,272.8125,128.0000
0.5944,3104.0000,272.8125,128.0000
0.6044,3104.0000,272.8125,128.0000
0.6144,3104.0000,272.8125,128.0000
0.6244,3104.0000,272.8125,128.0000
0.6344,3104.0000,272.8125,128.0000
0.6444,3104.0000,272.8125,128.0000
0.6544,3104.0000,272.8125,128.0000
0.6644,3104.0000,272.8125,128.0000
0.6744,3104.0000,272.8125,128.0000
0.6844,3104.0000,272.8125,128.0000
0.6944,3104.0000,272.8125,128.0000
0.7044,3104.0000,272.8125,128.0000
0.7144,3104.0000,272.8125,128.0000
0.7245,3104.0000,272.8125,128.0000
0.7344,3104.0000,272.8125,128.0000
0.7444,3104.0000,272.8125,128.0000
0.7544,3104.0000,272.8125,128.0000
0.7644,3104.0000,272.8125,128.0000
0.7744,3104.0000,272.8125,128.0000
0.7844,3104.0000,272.8125,128.0000
0.7944,3104.0000,272.8125,128.0000
0.8044,3104.0000,272.8125,128.0000
0.8144,3104.0000,272.8125,128.0000
0.8244,3104.0000,272.8125,128.0000
0.8344,3104.0000,272.8125,128.0000
0.8444,3104.0000,272.8125,128.0000
0.8544,3104.0000,272.8125,128.0000
0.8644,3104.0000,272.8125,128.0000
0.8744,3104.0000,272.8125,128.0000
0.8844,3104.0000,272.8125,128.0000
0.8944,3104.0000,272.8125,128.0000
0.9044,3104.0000,272.8125,128.0000
0.9144,3104.0000,272.8125,128.0000
0.9244,3104.0000,272.8125,128.0000
0.9344,3104.0000,272.8125,128.0000
0.9444,3104.0000,272.8125,128.0000
0.9544,3104.0000,272.8125,128.0000
0.9644,3104.0000,272.8125,128.0000
0.9744,3104.0000,272.8125,128.0000
0.9844,3104.0000,272.8125,128.0000
0.9944,3104.0000,272.8125,128.0000
1.0044,3104.0000,272.8125,128.0000
1.0144,3104.0000,272.8125,128.0000
1.0244,3104.0000,272.8125,128.0000
1.0344,3104.0000,272.8125,128.0000
1.0444,3104.0000,272.8125,128.0000
1.0544,3104.0000,272.8125,128.0000
1.0644,3104.0000,272.8125,128.0000
1.0745,3104.0000,272.8125,128.0000
1.0844,3104.0000,272.8125,128.0000
1.0944,3104.0000,272.8125,128.0000
1.1044,3104.0000,272.8125,128.0000
1.1144,3104.0000,272.8125,128.0000
1.1244,3104.0000,272.8125,128.0000
1.1344,3104.0000,272.8125,128.0000
1.1444,3104.0000,272.8125,128.0000
1.1544,3104.0000,272.8125,128.0000
1.1644,3104.0000,272.8125,128.0000
1.1744,3104.0000,272.8125,128.0000
1.1844,3104.0000,272.8125,128.0000
1.1944,3104.0000,272.8125,128.0000
1.2044,3104.0000,272.8125,128.0000
