time_s,raw,angle_deg,agc
0.0043,3067.0000,269.5605,128.0000
0.0144,3067.0000,269.5605,128.0000
0.0244,3067.0000,269.5605,128.0000
0.0344,3067.0000,269.5605,128.0000
0.0444,3067.0000,269.5605,128.0000
0.0544,3067.0000,269.5605,128.0000
0.0644,3067.0000,269.5605,128.0000
0.0744,3067.0000,269.5605,128.0000
0.0844,3067.0000,269.5605,128.0000
0.0944,3067.0000,269.5605,128.0000
0.1044,3067.0000,269.5605,128.0000
0.1144,3067.0000,269.5605,128.0000
0.1244,3067.0000,269.5605,128.0000
0.1344,3067.0000,269.5605,128.0000
0.1444,3067.0000,269.5605,128.0000
0.1544,3067.0000,269.5605,128.0000
0.1644,3067.0000,269.5605,128.0000
0.1744,3067.0000,269.5605,128.0000
0.1844,3067.0000,269.5605,128.0000
0.1944,3067.0000,269.5605,128.0000
0.2044,3067.0000,269.5605,128.0000
0.2144,3067.0000,269.5605,128.0000
0.2244,3067.0000,269.5605,128.0000
0.2344,3067.0000,269.5605,128.0000
0.2444,3067.0000,269.5605,128.0000
0.2544,3067.0000,269.5605,128.0000
0.2644,3067.0000,269.5605,128.0000
0.2744,3067.0000,269.5605,128.0000
0.2844,3067.0000,269.5605,128.0000
0.2944,3067.0000,269.5605,128.0000
0.3044,3067.0000,269.5605,128.0000
0.3144,3067.0000,269.5605,128.0000
0.3244,3067.0000,269.5605,128.0000
0.3344,3067.0000,269.5605,128.0000
0.3444,3067.0000,269.5605,128.0000
0.3544,3067.0000,269.5605,128.0000
0.3644,3067.0000,269.5605,128.0000
0.3744,3067.0000,269.5605,128.0000
0.3844,3067.0000,269.5605,128.0000
0.3944,3067.0000,269.5605,128.0000
0.4044,3067.0000,269.5605,128.0000
0.4144,3067.0000,269.5605,128.0000
0.4244,3067.0000,269.5605,128.0000
0.4344,3067.0000,269.5605,128.0000
0.4444,3067.0000,269.5605,128.0000
0.4544,3067.0000,269.5605,128.0000
0.4644,3067.0000,269.5605,128.0000
0.4744,3067.0000,269.5605,128.0000
0.4844,3067.0000,269.5605,128.0000
0.4944,3067.0000,269.5605,128.0000
0.5044,3067.0000,269.5605,128.0000
0.5144,3067.0000,269.5605,128.0000
0.5244,3067.0000,269.5605,128.0000
0.5344,3067.0000,269.5605,128.0000
0.5444,3067.0000,269.5605,128.0000
0.5544,3067.0000,269.5605,128.0000
0.5644,3067.0000,269.5605,128.0000
0.5744,3067.0000,269.5605,128.0000
0.5844,3067.0000,269.5605,128.0000
0.5944,3067.0000,269.5605,128.0000
0.6044,3067.0000,269.5605,128.0000
0.6144,3067.0000,269.5605,128.0000
0.6244,3067.0000,269.5605,128.0000
0.6344,3067.0000,269.5605,128.0000
0.6444,3067.0000,269.5605,128.0000
0.6544,3067.0000,269.5605,128.0000
0.6644,3067.0000,269.5605,128.0000
0.6744,3067.0000,269.5605,128.0000
0.6844,3067.0000,269.5605,128.0000
0.6944,3067.0000,269.5605,128.0000
0.7044,3067.0000,269.5605,128.0000
0.7144,3067.0000,269.5605,128.0000
0.7244,3067.0000,269.5605,128.0000
0.7345,3067.0000,269.5605,128.0000
0.7444,3067.0000,269.5605,128.0000
0.7544,3067.0000,269.5605,128.0000
0.7644,3067.0000,269.5605,128.0000
0.7744,3067.0000,269.5605,128.0000
0.7844,3067.0000,269.5605,128.0000
0.7944,3067.0000,269.5605,128.0000
0.8044,3067.0000,269.5605,128.0000
0.8144,3067.0000,269.5605,128.0000
0.8244,3067.0000,269.5605,128.0000
0.8344,3067.0000,269.5605,128.0000
0.8444,3067.0000,269.5605,128.0000
0.8544,3067.0000,269.5605,128.0000
0.8644,3067.0000,269.5605,128.0000
0.8744,3067.0000,269.5605,128.0000
0.8844,3067.0000,269.5605,128.0000
0.8944,3067.0000,269.5605,128.0000
0.9044,3067.0000,269.5605,128.0000
0.9144,3067.0000,269.5605,128.0000
0.9244,3067.0000,269.5605,128.0000
0.9344,3067.0000,269.5605,128.0000
0.9444,3067.0000,269.5605,128.0000
0.9544,3067.0000,269.5605,128.0000
0.9644,3067.0000,269.5605,128.0000
0.9744,3067.0000,269.5605,128.0000
0.9844,3067.0000,269.5605,128.0000
0.9944,3067.0000,269.5605,128.0000
1.0044,3067.0000,269.5605,128.0000
1.0144,3067.0000,269.5605,128.0000
1.0244,3067.0000,269.5605,128.0000
1.0344,3067.0000,269.5605,128.0000
1.0444,3067.0000,269.5605,128.0000
1.0544,3067.0000,269.5605,128.0000
1.0644,3067.0000,269.5605,128.0000
1.0744,3067.0000,269.5605,128.0000
1.0844,3067.0000,269.5605,128.0000
1.0944,3067.0000,269.5605,128.0000
1.1044,3067.0000,269.5605,128.0000
1.1144,3067.0000,269.5605,128.0000
1.1244,3067.0000,269.5605,128.0000
1.1344,3067.0000,269.5605,128.0000
1.1444,3067.0000,269.5605,128.0000
1.1544,3067.0000,269.5605,128.0000
1.1644,3067.0000,269.5605,128.0000
1.1744,3067.0000,269.5605,128.0000
1.1844,3067.0000,269.5605,128.0000
1.1944,3067.0000,269.5605,128.0000
1.2044,3067.0000,269.5605,128.0000
1.2144,3067.0000,269.5605,128.0000
1.2244,3067.0000,269.5605,128.0000
1.2344,3067.0000,269.5605,128.0000
1.2444,3067.0000,269.5605,128.0000
1.2544,3067.0000,269.5605,128.0000
1.2644,3067.0000,269.5605,128.0000
1.2744,3067.0000,269.5605,128.0000
1.2844,3067.0000,269.5605,128.0000
1.2944,3067.0000,269.5605,128.0000
1.3044,3067.0000,269.5605,128.0000
1.3144,3067.0000,269.5605,128.0000
1.3244,3067.0000,269.5605,128.0000
1.3344,3067.0000,269.5605,128.0000
1.3444,3067.0000,269.5605,128.0000
1.3544,3067.0000,269.5605,128.0000
1.3644,3067.0000,269.5605,128.0000
1.3744,3067.0000,269.5605,128.0000
1.3844,3067.0000,269.5605,128.0000
1.3944,3067.0000,269.5605,128.0000
1.4044,3067.0000,269.5605,128.0000
1.4144,3067.0000,269.5605,128.0000
1.4244,3067.0000,269.5605,128.0000
1.4344,3067.0000,269.5605,128.0000
1.4444,3067.0000,269.5605,128.0000
1.4544,3067.0000,269.5605,128.0000
1.4644,3067.0000,269.5605,128.0000
1.4744,3067.0000,269.5605,128.0000
1.4844,3067.0000,269.5605,128.0000
1.4944,3067.0000,269.5605,128.0000
1.5044,3067.0000,269.5605,128.0000
1.5144,3067.0000,269.5605,128.0000
1.5244,3067.0000,269.5605,128.0000
1.5344,3067.0000,269.5605,128.0000
1.5444,3067.0000,269.5605,128.0000
1.5544,3067.0000,269.5605,128.0000
1.5644,3067.0000,269.5605,128.0000
1.5744,3067.0000,269.5605,128.0000
1.5844,3067.0000,269.5605,128.0000
1.5944,3067.0000,269.5605,128.0000
1.6044,3067.0000,269.5605,128.0000
1.6144,3067.0000,269.5605,128.0000
1.6244,3067.0000,269.5605,128.0000
1.6344,3067.0000,269.5605,128.0000
1.6444,3067.0000,269.5605,128.0000
1.6544,3067.0000,269.5605,128.0000
1.6644,3067.0000,269.5605,128.0000
1.6744,3067.0000,269.5605,128.0000
1.6844,3067.0000,269.5605,128.0000
1.6944,3067.0000,269.5605,128.0000
1.7044,3067.0000,269.5605,128.0000
1.7144,3067.0000,269.5605,128.0000
1.7244,3067.0000,269.5605,128.0000
1.7345,3067.0000,269.5605,128.0000
1.7443,3067.0000,269.5605,128.0000
1.7544,3067.0000,269.5605,128.0000
1.7644,3067.0000,269.5605,128.0000
1.7744,3067.0000,269.5605,128.0000
1.7844,3067.0000,269.5605,128.0000
1.7944,3067.0000,269.5605,128.0000
1.8044,3067.0000,269.5605,128.0000
1.8144,3067.0000,269.5605,128.0000
1.8244,3067.0000,269.5605,128.0000
1.8344,3067.0000,269.5605,128.0000
1.8444,3067.0000,269.5605,128.0000
1.8544,3067.0000,269.5605,128.0000
1.8644,3067.0000,269.5605,128.0000
1.8744,3067.0000,269.5605,128.0000
1.8844,3067.0000,269.5605,128.0000
1.8944,3067.0000,269.5605,128.0000
1.9044,3067.0000,269.5605,128.0000
1.9144,3067.0000,269.5605,128.0000
1.9244,3067.0000,269.5605,128.0000
1.9344,3067.0000,269.5605,128.0000
1.9444,3067.0000,269.5605,128.0000
1.9544,3067.0000,269.5605,128.0000
1.9644,3067.0000,269.5605,128.0000
1.9744,3067.0000,269.5605,128.0000
1.9844,3067.0000,269.5605,128.0000
1.9944,3067.0000,269.5605,128.0000
2.0044,3067.0000,269.5605,128.0000
2.0144,3067.0000,269.5605,128.0000
2.0244,3067.0000,269.5605,128.0000
2.0344,3067.0000,269.5605,128.0000
2.0444,3067.0000,269.5605,128.0000
2.0544,3067.0000,269.5605,128.0000
2.0644,3067.0000,269.5605,128.0000
2.0744,3067.0000,269.5605,128.0000
2.0844,3067.0000,269.5605,128.0000
2.0944,3067.0000,269.5605,128.0000
2.1044,3067.0000,269.5605,128.0000
2.1144,3067.0000,269.5605,128.0000
2.1244,3067.0000,269.5605,128.0000
2.1344,3067.0000,269.5605,128.0000
2.1444,3067.0000,269.5605,128.0000
2.1544,3067.0000,269.5605,128.0000
2.1644,3067.0000,269.5605,128.0000
2.1744,3067.0000,269.5605,128.0000
2.1844,3067.0000,269.5605,128.0000
2.1944,3067.0000,269.5605,128.0000
2.2044,3067.0000,269.5605,128.0000
2.2144,3067.0000,269.5605,128.0000
2.2244,3067.0000,269.5605,128.0000
2.2344,3067.0000,269.5605,128.0000
2.2444,3067.0000,269.5605,128.0000
2.2544,3067.0000,269.5605,128.0000
2.2644,3067.0000,269.5605,128.0000
2.2744,3067.0000,269.5605,128.0000
2.2844,3067.0000,269.5605,128.0000
2.2944,3067.0000,269.5605,128.0000
2.3044,3067.0000,269.5605,128.0000
2.3144,3067.0000,269.5605,128.0000
2.3244,3067.0000,269.5605,128.0000
2.3344,3067.0000,269.5605,128.0000
2.3444,3067.0000,269.5605,128.0000
2.3544,3067.0000,269.5605,128.0000
2.3644,3067.0000,269.5605,128.0000
2.3744,3067.0000,269.5605,128.0000
2.3844,3067.0000,269.5605,128.0000
2.3944,3067.0000,269.5605,128.0000
2.4044,3067.0000,269.5605,128.0000
2.4144,3067.0000,269.5605,128.0000
2.4244,3067.0000,269.5605,128.0000
2.4344,3067.0000,269.5605,128.0000
2.4444,3067.0000,269.5605,128.0000
2.4544,3067.0000,269.5605,128.0000
2.4644,3067.0000,269.5605,128.0000
2.4744,3067.0000,269.5605,128.0000
2.4844,3067.0000,269.5605,128.0000
2.4944,3067.0000,269.5605,128.0000
2.5044,3067.0000,269.5605,128.0000
2.5144,3067.0000,269.5605,128.0000
2.5244,3067.0000,269.5605,128.0000
2.5344,3067.0000,269.5605,128.0000
2.5444,3067.0000,269.5605,128.0000
2.5544,3067.0000,269.5605,128.0000
2.5644,3067.0000,269.5605,128.0000
2.5744,3067.0000,269.5605,128.0000
2.5844,3067.0000,269.5605,128.0000
2.5944,3067.0000,269.5605,128.0000
2.6044,3067.0000,269.5605,128.0000
2.6144,3067.0000,269.5605,128.0000
2.6244,3067.0000,269.5605,128.0000
2.6344,3067.0000,269.5605,128.0000
2.6444,3067.0000,269.5605,128.0000
2.6544,3067.0000,269.5605,128.0000
2.6644,3067.0000,269.5605,128.0000
2.6744,3067.0000,269.5605,128.0000
2.6844,3067.0000,269.5605,128.0000
2.6944,3067.0000,269.5605,128.0000
2.7044,3067.0000,269.5605,128.0000
2.7144,3067.0000,269.5605,128.0000
2.7244,3067.0000,269.5605,128.0000
2.7346,3067.0000,269.5605,128.0000
2.7444,3067.0000,269.5605,128.0000
2.7544,3067.0000,269.5605,128.0000
2.7644,3067.0000,269.5605,128.0000
2.7744,3067.0000,269.5605,128.0000
2.7844,3067.0000,269.5605,128.0000
2.7944,3067.0000,269.5605,128.0000
2.8044,3067.0000,269.5605,128.0000
2.8144,3067.0000,269.5605,128.0000
2.8244,3067.0000,269.5605,128.0000
2.8344,3067.0000,269.5605,128.0000
2.8444,3067.0000,269.5605,128.0000
2.8544,3067.0000,269.5605,128.0000
2.8644,3067.0000,269.5605,128.0000
2.8744,3067.0000,269.5605,128.0000
2.8844,3067.0000,269.5605,128.0000
2.8944,3067.0000,269.5605,128.0000
2.9044,3067.0000,269.5605,128.0000
2.9144,3067.0000,269.5605,128.0000
2.9244,3067.0000,269.5605,128.0000
2.9344,3067.0000,269.5605,128.0000
2.9444,3067.0000,269.5605,128.0000
2.9544,3067.0000,269.5605,128.0000
2.9644,3067.0000,269.5605,128.0000
2.9744,3067.0000,269.5605,128.0000
2.9844,3067.0000,269.5605,128.0000
2.9944,3067.0000,269.5605,128.0000
3.0044,3067.0000,269.5605,128.0000
3.0144,3067.0000,269.5605,128.0000
3.0244,3067.0000,269.5605,128.0000
3.0344,3067.0000,269.5605,128.0000
3.0444,3067.0000,269.5605,128.0000
3.0544,3067.0000,269.5605,128.0000
3.0644,3067.0000,269.5605,128.0000
3.0744,3067.0000,269.5605,128.0000
3.0844,3067.0000,269.5605,128.0000
3.0944,3067.0000,269.5605,128.0000
3.1044,3067.0000,269.5605,128.0000
3.1144,3067.0000,269.5605,128.0000
3.1244,3067.0000,269.5605,128.0000
3.1344,3067.0000,269.5605,128.0000
3.1444,3067.0000,269.5605,128.0000
3.1544,3067.0000,269.5605,128.0000
3.1644,3067.0000,269.5605,128.0000
3.1744,3067.0000,269.5605,128.0000
3.1844,3067.0000,269.5605,128.0000
3.1944,3067.0000,269.5605,128.0000
3.2044,3067.0000,269.5605,128.0000
3.2144,3067.0000,269.5605,128.0000
3.2244,3067.0000,269.5605,128.0000
3.2344,3067.0000,269.5605,128.0000
3.2444,3067.0000,269.5605,128.0000
3.2544,3067.0000,269.5605,128.0000
3.2644,3067.0000,269.5605,128.0000
3.2744,3067.0000,269.5605,128.0000
3.2844,3067.0000,269.5605,128.0000
3.2944,3067.0000,269.5605,128.0000
3.3044,3067.0000,269.5605,128.0000
3.3144,3067.0000,269.5605,128.0000
3.3244,3067.0000,269.5605,128.0000
3.3344,3067.0000,269.5605,128.0000
3.3444,3067.0000,269.5605,128.0000
3.3544,3067.0000,269.5605,128.0000
3.3644,3067.0000,269.5605,128.0000
3.3744,3067.0000,269.5605,128.0000
3.3844,3067.0000,269.5605,128.0000
3.3944,3067.0000,269.5605,128.0000
3.4044,3067.0000,269.5605,128.0000
3.4144,3067.0000,269.5605,128.0000
3.4244,3067.0000,269.5605,128.0000
3.4344,3067.0000,269.5605,128.0000
3.4444,3067.0000,269.5605,128.0000
3.4544,3067.0000,269.5605,128.0000
3.4644,3067.0000,269.5605,128.0000
3.4744,3067.0000,269.5605,128.0000
3.4844,3067.0000,269.5605,128.0000
3.4944,3067.0000,269.5605,128.0000
3.5044,3067.0000,269.5605,128.0000
3.5144,3067.0000,269.5605,128.0000
3.5244,3067.0000,269.5605,128.0000
3.5344,3067.0000,269.5605,128.0000
3.5444,3067.0000,269.5605,128.0000
3.5544,3067.0000,269.5605,128.0000
3.5644,3067.0000,269.5605,128.0000
3.5744,3067.0000,269.5605,128.0000
3.5844,3067.0000,269.5605,128.0000
3.5944,3067.0000,269.5605,128.0000
3.6044,3067.0000,269.5605,128.0000
3.6144,3067.0000,269.5605,128.0000
3.6244,3067.0000,269.5605,128.0000
3.6344,3067.0000,269.5605,128.0000
3.6444,3067.0000,269.5605,128.0000
3.6544,3067.0000,269.5605,128.0000
3.6644,3067.0000,269.5605,128.0000
3.6744,3067.0000,269.5605,128.0000
3.6844,3067.0000,269.5605,128.0000
3.6944,3067.0000,269.5605,128.0000
3.7044,3067.0000,269.5605,128.0000
3.7144,3067.0000,269.5605,128.0000
3.7244,3067.0000,269.5605,128.0000
3.7345,3067.0000,269.5605,128.0000
3.7444,3067.0000,269.5605,128.0000
3.7544,3067.0000,269.5605,128.0000
3.7644,3067.0000,269.5605,128.0000
3.7744,3067.0000,269.5605,128.0000
3.7844,3067.0000,269.5605,128.0000
3.7944,3067.0000,269.5605,128.0000
3.8044,3067.0000,269.5605,128.0000
3.8144,3067.0000,269.5605,128.0000
3.8244,3067.0000,269.5605,128.0000
3.8344,3067.0000,269.5605,128.0000
3.8444,3067.0000,269.5605,128.0000
3.8544,3067.0000,269.5605,128.0000
3.8644,3067.0000,269.5605,128.0000
3.8744,3067.0000,269.5605,128.0000
3.8844,3067.0000,269.5605,128.0000
3.8944,3067.0000,269.5605,128.0000
3.9044,3067.0000,269.5605,128.0000
3.9144,3067.0000,269.5605,128.0000
3.9244,3067.0000,269.5605,128.0000
3.9344,3067.0000,269.5605,128.0000
3.9444,3067.0000,269.5605,128.0000
3.9544,3067.0000,269.5605,128.0000
3.9644,3067.0000,269.5605,128.0000
3.9744,3067.0000,269.5605,128.0000
3.9844,3067.0000,269.5605,128.0000
3.9944,3067.0000,269.5605,128.0000
4.0044,3067.0000,269.5605,128.0000
4.0144,3067.0000,269.5605,128.0000
4.0244,3067.0000,269.5605,128.0000
4.0344,3067.0000,269.5605,128.0000
4.0444,3067.0000,269.5605,128.0000
4.0545,3067.0000,269.5605,128.0000
4.0644,3067.0000,269.5605,128.0000
4.0744,3067.0000,269.5605,128.0000
4.0844,3067.0000,269.5605,128.0000
4.0944,3067.0000,269.5605,128.0000
4.1044,3067.0000,269.5605,128.0000
4.1144,3067.0000,269.5605,128.0000
4.1244,3067.0000,269.5605,128.0000
4.1344,3067.0000,269.5605,128.0000
4.1444,3067.0000,269.5605,128.0000
4.1544,3067.0000,269.5605,128.0000
4.1644,3067.0000,269.5605,128.0000
4.1744,3067.0000,269.5605,128.0000
4.1844,3067.0000,269.5605,128.0000
4.1944,3067.0000,269.5605,128.0000
4.2044,3067.0000,269.5605,128.0000
4.2144,3067.0000,269.5605,128.0000
4.2244,3067.0000,269.5605,128.0000
4.2344,3067.0000,269.5605,128.0000
4.2444,3067.0000,269.5605,128.0000
4.2544,3067.0000,269.5605,128.0000
4.2644,3067.0000,269.5605,128.0000
4.2744,3067.0000,269.5605,128.0000
4.2844,3067.0000,269.5605,128.0000
4.2944,3067.0000,269.5605,128.0000
4.3044,3067.0000,269.5605,128.0000
4.3144,3067.0000,269.5605,128.0000
4.3244,3067.0000,269.5605,128.0000
4.3344,3067.0000,269.5605,128.0000
4.3444,3067.0000,269.5605,128.0000
4.3544,3067.0000,269.5605,128.0000
4.3644,3067.0000,269.5605,128.0000
4.3744,3067.0000,269.5605,128.0000
4.3844,3067.0000,269.5605,128.0000
4.3944,3067.0000,269.5605,128.0000
4.4044,3067.0000,269.5605,128.0000
4.4144,3067.0000,269.5605,128.0000
